C:\IMG\IMG\center_2022_11_01_13_43_07_580.jpg, C:\IMG\IMG\left_2022_11_01_13_43_07_580.jpg, C:\IMG\IMG\right_2022_11_01_13_43_07_580.jpg, 0, 0, 0, 7.90808E-05
C:\IMG\IMG\center_2022_11_01_13_43_07_683.jpg, C:\IMG\IMG\left_2022_11_01_13_43_07_683.jpg, C:\IMG\IMG\right_2022_11_01_13_43_07_683.jpg, 0, 0, 0, 7.859374E-05
C:\IMG\IMG\center_2022_11_01_13_43_07_786.jpg, C:\IMG\IMG\left_2022_11_01_13_43_07_786.jpg, C:\IMG\IMG\right_2022_11_01_13_43_07_786.jpg, 0, 0, 0, 7.961079E-05
C:\IMG\IMG\center_2022_11_01_13_43_07_889.jpg, C:\IMG\IMG\left_2022_11_01_13_43_07_889.jpg, C:\IMG\IMG\right_2022_11_01_13_43_07_889.jpg, 0, 0, 0, 7.866649E-05
C:\IMG\IMG\center_2022_11_01_13_43_07_989.jpg, C:\IMG\IMG\left_2022_11_01_13_43_07_989.jpg, C:\IMG\IMG\right_2022_11_01_13_43_07_989.jpg, 0, 0, 0, 7.874149E-05
C:\IMG\IMG\center_2022_11_01_13_43_08_090.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_090.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_090.jpg, 0, 0, 0, 7.793071E-05
C:\IMG\IMG\center_2022_11_01_13_43_08_191.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_191.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_191.jpg, 0, 0, 0, 7.782199E-05
C:\IMG\IMG\center_2022_11_01_13_43_08_292.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_292.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_292.jpg, 0, 0, 0, 7.82083E-05
C:\IMG\IMG\center_2022_11_01_13_43_08_393.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_393.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_393.jpg, 0, 0, 0, 7.821703E-05
C:\IMG\IMG\center_2022_11_01_13_43_08_494.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_494.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_494.jpg, 0, 0, 0, 7.826496E-05
C:\IMG\IMG\center_2022_11_01_13_43_08_594.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_594.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_594.jpg, 0, 0.0090474, 0, 0.05639844
C:\IMG\IMG\center_2022_11_01_13_43_08_695.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_695.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_695.jpg, 0, 0.3034344, 0, 0.1908741
C:\IMG\IMG\center_2022_11_01_13_43_08_796.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_796.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_796.jpg, 0, 0.6050484, 0, 0.749508
C:\IMG\IMG\center_2022_11_01_13_43_08_897.jpg, C:\IMG\IMG\left_2022_11_01_13_43_08_897.jpg, C:\IMG\IMG\right_2022_11_01_13_43_08_897.jpg, 0, 0.9063732, 0, 1.715387
C:\IMG\IMG\center_2022_11_01_13_43_09_000.jpg, C:\IMG\IMG\left_2022_11_01_13_43_09_000.jpg, C:\IMG\IMG\right_2022_11_01_13_43_09_000.jpg, 0, 1, 0, 2.882002
